t,v
04-06-2022 02:01,245.3488
04-06-2022 09:05,246.2209
04-06-2022 14:23,243.0233
06-06-2022 10:36,246.5116
06-06-2022 17:41,239.5349
07-06-2022 02:31,248.2558
07-06-2022 18:26,234.593
08-06-2022 15:39,242.1512
09-06-2022 09:20,246.5116
09-06-2022 16:25,241.8604
11-06-2022 02:01,254.3605
11-06-2022 07:19,246.5116
11-06-2022 17:56,243.6046
12-06-2022 09:51,253.4884
12-06-2022 16:55,251.4535
13-06-2022 01:46,255.814
13-06-2022 22:59,254.0698
14-06-2022 11:22,258.1395
14-06-2022 16:40,252.0349
15-06-2022 17:25,257.5581
15-06-2022 06:49,253.4884
16-06-2022 00:30,253.1977
17-06-2022 01:15,255.5233
17-06-2022 10:06,254.3605
17-06-2022 17:10,258.7209
18-06-2022 00:15,255.2326
18-06-2022 10:51,259.0116
18-06-2022 23:14,257.2674
19-06-2022 06:18,260.1744
20-06-2022 05:18,257.2674
20-06-2022 19:27,259.3023
21-06-2022 14:54,259.8837
21-06-2022 21:58,255.2326
22-06-2022 13:53,260.1744
23-06-2022 09:20,254.9419
23-06-2022 14:39,256.9767
23-06-2022 23:29,254.6512
24-06-2022 08:20,259.0116
25-06-2022 09:05,250.8721
26-06-2022 20:27,256.3954
27-06-2022 07:04,253.7791
27-06-2022 12:22,257.2674
28-06-2022 07:49,255.5233
29-06-2022 13:53,262.2093
29-06-2022 20:58,253.1977
30-06-2022 11:06,255.814
13-04-2022 12:07,262.5
15-04-2022 03:01,248.5465
19-04-2022 09:36,267.4419
24-04-2022 06:18,302.6163
24-04-2022 16:55,309.3023
24-04-2022 20:27,290.9884
28-04-2022 04:02,254.6512
01-05-2022 20:27,255.814
04-05-2022 06:49,280.814
16-05-2022 05:18,261.6279
01-07-2022 05:09,251.1111
02-07-2022 22:42,259.6296
04-07-2022 03:36,253.5185
05-07-2022 03:05,252.963
05-07-2022 22:58,256.1111
06-07-2022 07:59,253.5185
07-07-2022 00:15,259.6296
07-07-2022 14:42,251.8519
08-07-2022 15:59,257.7778
09-07-2022 15:29,252.037
09-07-2022 22:42,257.2222
10-07-2022 18:34,255.3704
11-07-2022 07:13,258.1481
12-07-2022 01:17,257.2222
12-07-2022 08:30,258.8889
12-07-2022 17:32,255.3704
13-07-2022 00:46,260.3704
13-07-2022 11:36,258.7037
14-07-2022 00:15,260.3704
14-07-2022 07:29,258.7037
14-07-2022 16:30,262.5926
14-07-2022 23:44,260
15-07-2022 17:48,261.8519
16-07-2022 01:01,260.9259
16-07-2022 08:15,262.7778
16-07-2022 13:40,261.1111
16-07-2022 22:42,263.3333
17-07-2022 07:44,258.3333
17-07-2022 16:46,262.7778
20-07-2022 17:01,251.4815
18-07-2022 09:01,258.7037
21-07-2022 07:29,257.7778
21-07-2022 18:19,254.8148
22-07-2022 19:36,257.2222
23-07-2022 13:40,245.5556
24-07-2022 16:46,258.1481
26-07-2022 08:30,259.4444
25-07-2022 10:50,256.2963
26-07-2022 01:17,257.2222
26-07-2022 22:58,251.6667
27-07-2022 17:01,261.2963
28-07-2022 14:42,255.3704
29-07-2022 03:21,256.2963
29-07-2022 16:00,252.037
30-07-2022 01:01,256.1111
30-07-2022 17:17,250.5555
31-07-2022 02:19,252.7778
01-08-2022 07:13,260.3704
01-08-2022 18:03,254.8148
02-08-2022 03:05,255.5556
02-08-2022 17:32,250.7407
03-08-2022 02:34,254.6296
03-08-2022 13:25,252.5926
04-08-2022 03:52,255
04-08-2022 09:17,250.1852
05-08-2022 03:21,255.3704
05-08-2022 10:34,248.7037
06-08-2022 19:05,255.9259
07-08-2022 02:19,250.7407
08-08-2022 03:36,253.8889
08-08-2022 10:50,258.1481
09-08-2022 12:07,259.8148
10-08-2022 02:34,260.9259
09-08-2022 21:09,258.8889
10-08-2022 20:38,257.5926
11-08-2022 02:03,259.8148
11-08-2022 23:44,261.8519
12-08-2022 19:36,259.0741
13-08-2022 11:52,262.7778
14-08-2022 04:07,260.3704
14-08-2022 14:58,264.0741
15-08-2022 00:00,260.9259
15-08-2022 10:50,258.1481
16-08-2022 06:42,260.5556
16-08-2022 13:56,258.7037
17-08-2022 20:38,262.2222
19-08-2022 08:46,262.037
18-08-2022 07:29,261.2963
19-08-2022 21:25,264.6296
20-08-2022 06:27,261.4815
20-08-2022 08:15,265
20-08-2022 19:05,265.7407
21-08-2022 13:09,263.8889
21-08-2022 22:11,265.9259
22-08-2022 12:38,262.963
22-08-2022 19:52,263.8889
23-08-2022 03:05,261.2963
24-08-2022 11:36,261.8519
23-08-2022 19:21,261.2963
26-08-2022 05:09,246.2963
25-08-2022 13:42,258.6539
24-08-2022 22:39,259.6827
25-08-2022 02:40,258.2424
25-08-2022 18:43,256.6991
25-08-2022 21:44,251.9666
26-08-2022 10:46,251.9666
26-08-2022 17:48,257.0078
27-08-2022 00:49,258.3452
28-08-2022 00:55,257.2135
27-08-2022 10:52,256.4934
28-08-2022 03:55,252.2753
28-08-2022 13:57,253.2012
29-08-2022 00:00,250.4234
29-08-2022 07:01,252.5839
