t,v
11-3-21   8:20,71.07843
11-3-21   8:20,73.03921
11-3-21   15:39,76.22548
12-3-21   0:46,71.32352
12-3-21   0:46,68.38235
12-3-21   2:36,65.68627
12-3-21   19:2,74.7549
13-03-2021 02:20,69.11764
13-03-2021 04:10,62.5
13-03-2021 13:18,67.15686
13-03-2021 15:07,64.46078
13-03-2021 16:57,60.53921
13-03-2021 22:26,57.35294
14-03-2021 02:05,62.2549
14-03-2021 07:33,65.93137
14-03-2021 09:23,69.36274
14-03-2021 13:02,71.32352
14-03-2021 20:20,76.22548
14-03-2021 22:10,73.03921
15-03-2021 01:49,68.62745
15-03-2021 01:49,64.95098
14-03-2021 22:10,63.23529
15-03-2021 12:46,62.5
15-03-2021 16:26,66.17647
16-03-2021 07:02,64.21568
16-03-2021 05:13,69.11764
16-03-2021 05:13,73.52941
16-03-2021 08:52,79.41176
16-03-2021 08:52,82.35293
16-03-2021 21:39,80.63725
16-03-2021 23:28,76.71568
17-03-2021 06:46,73.28431
17-03-2021 04:57,70.83333
17-03-2021 19:33,68.87254
17-03-2021 23:13,66.17647
17-03-2021 23:13,63.72549
18-03-2021 02:52,59.31372
18-03-2021 08:20,61.02941
18-03-2021 21:07,61.02941
19-03-2021 08:05,65.93137
19-03-2021 02:36,71.07843
19-03-2021 04:26,76.71568
19-03-2021 06:15,82.84313
19-03-2021 06:15,89.46078
19-03-2021 06:15,94.60783
19-03-2021 06:15,97.05881
19-03-2021 08:05,100
19-03-2021 08:05,103.1863
19-03-2021 08:05,105.6372
19-03-2021 15:23,108.5784
19-03-2021 22:41,101.7157
20-03-2021 00:31,99.2647
20-03-2021 04:10,95.58823
20-03-2021 11:28,103.1863
20-03-2021 11:28,106.6176
20-03-2021 13:18,100.2451
20-03-2021 16:57,97.05881
20-03-2021 18:46,92.40196
20-03-2021 18:46,87.5
20-03-2021 18:46,83.33333
20-03-2021 16:57,77.20588
20-03-2021 16:57,72.05882
21-03-2021 02:05,65.44117
21-03-2021 03:54,58.57843
21-03-2021 03:54,58.57843
21-03-2021 16:41,62.74509
21-03-2021 18:31,59.06862
21-03-2021 20:20,55.63725
22-03-2021 03:39,52.20588
22-03-2021 03:39,48.52941
22-03-2021 09:07,53.92156
22-03-2021 09:07,58.57843
22-03-2021 18:15,59.80392
23-03-2021 01:33,55.14705
23-03-2021 08:52,61.27451
23-03-2021 08:52,64.21568
23-03-2021 08:52,68.87254
23-03-2021 16:10,71.56862
23-03-2021 19:49,75.24509
23-03-2021 23:28,67.89215
23-03-2021 23:28,63.48039
24-03-2021 01:18,60.04902
24-03-2021 04:57,57.35294
24-03-2021 10:26,65.68627
24-03-2021 14:05,68.87254
24-03-2021 19:33,72.54901
25-03-2021 02:52,64.70588
25-03-2021 10:10,67.64705
25-03-2021 11:59,73.03921
25-03-2021 13:49,77.94117
25-03-2021 13:49,81.12744
25-03-2021 22:57,85.78431
26-03-2021 04:26,75.49019
26-03-2021 11:44,79.90195
26-03-2021 20:52,76.96078
26-03-2021 20:52,73.28431
27-03-2021 04:10,66.17647
27-03-2021 04:10,62.0098
27-03-2021 11:28,58.08823
27-03-2021 15:07,53.18627
27-03-2021 20:36,48.52941
28-03-2021 03:54,44.11764
28-03-2021 11:13,49.7549
